OBJECTID,GR,Nome_Estado,Codigo_Municipio,Nome_municipio,Pop_Total,Leitos_UTI_Total,Leitos_UTI_100mil_hab_Ind,Leitos_UTI_SUS_Total,Leitos_UTI_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
4765,Nordeste,Pernambuco,2613503,São José do Belmonte,33959,0,0,0,0,0.120863267551442,1.73858933131744
4766,Nordeste,Paraíba,2514602,São José do Bonfim,3557,0,0,0,0,0.0110285539182655,0.503609750636495
4767,Nordeste,Paraíba,2514651,São José do Brejo do Cruz,1801,0,0,0,0,0.0208197400593519,0.701408072225419
4768,Sudeste,Espírito Santo,3204807,São José do Calçado,10556,10,94.732853353543,7,66.3129973474801,0.0237556829110304,0.980165453010513
4769,Nordeste,Rio Grande do Norte,2412302,São José do Campestre,12856,0,0,0,0,0.0278764475313551,0.84277526612378
4770,Sul,Santa Catarina,4216701,São José do Cedro,13829,0,0,0,0,0.0254597086008062,1.61296578051726
4771,Sul,Santa Catarina,4216800,São José do Cerrito,8295,0,0,0,0,0.0863728483012665,2.60357443581088
4772,Nordeste,Piauí,2210052,São José do Divino,5346,0,0,0,0,0.0259760722773592,0.855913958676722
4773,Sudeste,Minas Gerais,3163300,São José do Divino,3860,0,0,0,0,0.0281051955543603,0.997117754139778
4774,Nordeste,Pernambuco,2613602,São José do Egito,33951,0,0,0,0,0.0650629455304852,1.526279625281
4775,Sudeste,Minas Gerais,3163409,São José do Goiabal,5420,0,0,0,0,0.0163572820434297,0.818298254777409
4776,Sul,Rio Grande do Sul,4318465,São José do Herval,1971,0,0,0,0,0.00955188609304969,0.575565420335971
4777,Sul,Rio Grande do Sul,4318481,São José do Hortêncio,4804,0,0,0,0,0.00596713984612052,0.537062581169494
4778,Sul,Rio Grande do Sul,4318499,São José do Inhacorá,2073,0,0,0,0,0.00712105993568457,0.700659409088556
4779,Nordeste,Bahia,2929370,São José do Jacuípe,10462,0,0,0,0,0.0300198125054294,1.11863772157256
4780,Sudeste,Minas Gerais,3163508,São José do Jacuri,6453,0,0,0,0,0.0294851625844785,1.11148326690251
4781,Sudeste,Minas Gerais,3163607,São José do Mantimento,2791,0,0,0,0,0.00472234169990315,0.417235339297451
4782,Sul,Rio Grande do Sul,4318507,São José do Norte,27568,0,0,0,0,0.106438990203173,3.28490869401351
4783,Sul,Rio Grande do Sul,4318606,São José do Ouro,6933,0,0,0,0,0.030648949046963,1.15369762699249
4784,Nordeste,Piauí,2210102,São José do Peixe,3745,0,0,0,0,0.10544394737596,2.08221368994709
4785,Nordeste,Piauí,2210201,São José do Piauí,6705,0,0,0,0,0.0305410409865772,0.821245070924054
4786,Centro-Oeste,Mato Grosso,5107297,São José do Povo,4063,0,0,0,0,0.0379349240298552,1.25109440691108
4787,Centro-Oeste,Mato Grosso,5107305,São José do Rio Claro,20664,0,0,0,0,0.378535166222093,4.40606650195527
4788,Sudeste,São Paulo,3549706,São José do Rio Pardo,54946,7,12.7397808757689,5,9.0998434826921,0.0366051042959725,1.12419984536257
4789,Sudeste,São Paulo,3549805,São José do Rio Preto,460671,226,49.0588728181283,157,34.0807213825051,0.0374740271154792,1.10440186496012
