OBJECTID,Codigo_Municipio,GR,Nome_Estado,Nome_municipio,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
208,2800100,Nordeste,Sergipe,Amparo de São Francisco,2374,1,1,42.12299915754,42.12299915754,36695903.3276367,30758.4235747091
209,3102506,Sudeste,Minas Gerais,Amparo do Serra,4713,8,8,169.743263314237,169.743263314237,156069782.615234,89825.841749515
210,4101002,Sul,Paraná,Ampére,19152,15,14,78.3208020050125,73.0994152046784,370334920.966797,159535.400580966
211,2700201,Nordeste,Alagoas,Anadia,17545,17,17,96.8937019093759,96.8937019093759,192749385.054199,67541.0456765754
212,2901205,Nordeste,Bahia,Anagé,22005,22,22,99.9772778913883,99.9772778913883,1435308331.11084,246735.687087764
213,4101051,Sul,Paraná,Anahy,2801,4,4,142.806140664049,142.806140664049,124797055.669922,72884.9659210789
214,1500701,Norte,Pará,Anajás,29277,8,8,27.325204085118,27.325204085118,6961184498.63289,461141.239174262
215,2100709,Nordeste,Maranhão,Anajatuba,26803,19,19,70.8875872103869,70.8875872103869,1021188624.08228,145215.018634604
216,3502002,Sudeste,São Paulo,Analândia,4995,7,7,140.14014014014,140.14014014014,381644845.994141,98477.8479820486
217,1300086,Norte,Amazonas,Anamã,13614,13,13,95.4899368297341,95.4899368297341,2471715135.4834,273906.234593974
218,1701002,Norte,Tocantins,Ananás,9549,11,11,115.195308409258,115.195308409258,1606286311.35376,230426.980232851
219,1500800,Norte,Pará,Ananindeua,530598,482,464,90.8409002672456,87.4485015020788,191837290.66156,103156.314413146
220,5201108,Centro-Oeste,Goiás,Anápolis,386923,409,361,105.705786422622,93.300217355908,1018606093.62598,235864.047565379
221,1500859,Norte,Pará,Anapu,27890,14,14,50.1972032986734,50.1972032986734,12034949859.4907,967839.645035679
222,2100808,Nordeste,Maranhão,Anapurus,15732,10,10,63.5647088736334,63.5647088736334,614713511.742188,172820.763697764
223,5000708,Centro-Oeste,Mato Grosso do Sul,Anastácio,25135,17,17,67.6347722299582,67.6347722299582,3384405483.14355,374412.732496412
224,5000807,Centro-Oeste,Mato Grosso do Sul,Anaurilândia,9035,10,10,110.680686220255,110.680686220255,3975077671.05273,268067.917485647
225,3200409,Sudeste,Espírito Santo,Anchieta,29263,60,36,205.037077538188,123.022246522913,473209495.581055,146425.801447525
226,4200804,Sul,Santa Catarina,Anchieta,5638,7,7,124.157502660518,124.157502660518,290998917.001953,132643.357663457
227,2901304,Nordeste,Bahia,Andaraí,13143,11,11,83.6947424484516,83.6947424484516,1681710716.96533,266089.596310211
228,4101101,Sul,Paraná,Andirá,20031,11,11,54.9148819330038,54.9148819330038,279989014.260742,102182.366070041
229,2901353,Nordeste,Bahia,Andorinha,14595,12,12,82.2199383350463,82.2199383350463,1416095733.2373,223767.960775382
230,3102605,Sudeste,Minas Gerais,Andradas,41077,49,48,119.28816612703,116.85371375709,549248529.918945,139612.780030751
