Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
316440 São Sebastião da Bela Vista,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316443 São Sebastião da Vargem Alegre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316447 São Sebastião do Anta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316450 São Sebastião do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316460 São Sebastião do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316470 São Sebastião do Paraíso,-,-,-,-,-,20,-,-,2,-,-,8,-,-,-,-,-,-,-,-,30
316480 São Sebastião do Rio Preto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316490 São Sebastião do Rio Verde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316520 São Thomé das Letras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316500 São Tiago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316510 São Tomás de Aquino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316530 São Vicente de Minas,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
316540 Sapucaí-Mirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316550 Sardoá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316553 Sarzedo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316556 Sem-Peixe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316557 Senador Amaral,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316560 Senador Cortes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316570 Senador Firmino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316580 Senador José Bento,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316590 Senador Modestino Gonçalves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316600 Senhora de Oliveira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316610 Senhora do Porto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316620 Senhora dos Remédios,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316630 Sericita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316640 Seritinga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316650 Serra Azul de Minas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316660 Serra da Saudade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316680 Serra do Salitre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316670 Serra dos Aimorés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316690 Serrania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316695 Serranópolis de Minas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316700 Serranos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316710 Serro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316720 Sete Lagoas,-,-,-,2,-,22,-,-,1,-,-,9,-,-,-,-,-,-,-,-,34
316555 Setubinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316730 Silveirânia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316740 Silvianópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316750 Simão Pereira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316760 Simonésia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316770 Sobrália,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316780 Soledade de Minas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316790 Tabuleiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316800 Taiobeiras,-,-,-,-,-,10,-,-,-,-,-,8,-,-,-,-,2,-,-,-,20
316805 Taparuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316810 Tapira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316820 Tapiraí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316830 Taquaraçu de Minas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316840 Tarumirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316850 Teixeiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316860 Teófilo Otoni,-,-,-,1,-,20,-,-,1,-,-,9,-,-,5,-,-,-,-,-,36
316870 Timóteo,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
316880 Tiradentes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316890 Tiros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316900 Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316905 Tocos do Moji,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316910 Toledo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316920 Tombos,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
316930 Três Corações,-,-,-,-,-,10,-,-,1,-,-,4,-,-,-,-,-,-,-,-,15
316935 Três Marias,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
316940 Três Pontas,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
316950 Tumiritinga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316960 Tupaciguara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316970 Turmalina,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
316980 Turvolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316990 Ubá,-,-,-,4,-,24,-,-,4,-,-,6,-,-,-,-,-,-,-,-,38
317000 Ubaí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317005 Ubaporanga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317010 Uberaba,-,-,-,7,-,38,10,-,4,-,-,22,-,-,-,-,6,-,-,-,87
317020 Uberlândia,20,-,-,5,-,74,22,-,-,9,-,20,10,2,-,-,26,11,-,-,199
317030 Umburatiba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317040 Unaí,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
317043 União de Minas,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
317047 Uruana de Minas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317050 Urucânia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317052 Urucuia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317057 Vargem Alegre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317060 Vargem Bonita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317065 Vargem Grande do Rio Pardo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317070 Varginha,-,-,-,-,2,34,-,-,-,-,-,8,-,-,-,-,-,-,-,-,44
317075 Varjão de Minas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317080 Várzea da Palma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317090 Varzelândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317100 Vazante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317103 Verdelândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317107 Veredinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317110 Veríssimo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317115 Vermelho Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317120 Vespasiano,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
317130 Viçosa,-,-,-,-,-,11,-,-,-,-,-,8,-,-,-,-,-,-,-,-,19
317140 Vieiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317160 Virgem da Lapa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317170 Virgínia,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
317180 Virginópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317190 Virgolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317200 Visconde do Rio Branco,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
317210 Volta Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317220 Wenceslau Braz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310000 Município ignorado - MG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320010 Afonso Cláudio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320016 Água Doce do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320013 Águia Branca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320020 Alegre,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320030 Alfredo Chaves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320035 Alto Rio Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320040 Anchieta,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320050 Apiacá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320060 Aracruz,20,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28
320070 Atilio Vivacqua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320080 Baixo Guandu,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320090 Barra de São Francisco,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
320100 Boa Esperança,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320110 Bom Jesus do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320115 Brejetuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320120 Cachoeiro de Itapemirim,10,-,-,2,-,43,-,-,7,-,-,19,-,-,-,-,-,-,-,-,81
320130 Cariacica,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
320140 Castelo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320150 Colatina,39,-,-,5,-,35,-,-,-,-,-,20,-,-,-,-,-,-,-,-,99
320160 Conceição da Barra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320170 Conceição do Castelo,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320180 Divino de São Lourenço,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320190 Domingos Martins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320200 Dores do Rio Preto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320210 Ecoporanga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320220 Fundão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320225 Governador Lindenberg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320230 Guaçuí,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
320240 Guarapari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320245 Ibatiba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3
320250 Ibiraçu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320255 Ibitirama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320260 Iconha,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
320265 Irupi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320270 Itaguaçu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320280 Itapemirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
