OBJECTID,Codigo_Municipio,Nome_municipio,Nome_Estado,GR,Pop_Total,Total_Medicos,Medicos_SUS,Medicos_100mil_hab_Ind,Medicos_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
457,2902500,Baianópolis,Bahia,Nordeste,13877,6,6,43.2370108813144,43.2370108813144,0.276318909750557,2.81576142108438
458,1501204,Baião,Pará,Norte,47446,15,15,31.6148885048265,31.6148885048265,0.305774749152121,3.53858376107742
459,2902609,Baixa Grande,Bahia,Nordeste,20468,8,8,39.0854016025015,39.0854016025015,0.0803012740450413,1.51398248995401
460,2201150,Baixa Grande do Ribeiro,Piauí,Nordeste,11586,6,5,51.7866390471258,43.1555325392715,0.641291510288198,4.2718781447738
461,2301802,Baixio,Ceará,Nordeste,6288,4,4,63.6132315521629,63.6132315521629,0.0119762897963938,0.567106820555679
462,3200805,Baixo Guandu,Espírito Santo,Sudeste,30998,48,39,154.848699916124,125.81456868185,0.0789407792156567,2.49767128294655
463,3504701,Balbinos,São Paulo,Sudeste,5735,6,6,104.62074978204,104.62074978204,0.00800812761565339,0.413276203781069
464,3105004,Baldim,Minas Gerais,Sudeste,7826,5,5,63.8895987733197,63.8895987733197,0.0478020242832145,1.81823315952369
465,5203104,Baliza,Goiás,Centro-Oeste,5138,5,5,97.3141300116777,97.3141300116777,0.150960837498644,2.35581525801863
466,4201950,Balneário Arroio do Silva,Santa Catarina,Sul,13071,3,3,22.9515721826945,22.9515721826945,0.00882209608028006,0.508030663413047
467,4202057,Balneário Barra do Sul,Santa Catarina,Sul,10795,12,12,111.162575266327,111.162575266327,0.0100703172822705,0.535309845651564
468,4202008,Balneário Camboriú,Santa Catarina,Sul,142295,737,327,517.938086369865,229.804279841175,0.00420499738766011,0.526651570496525
469,4202073,Balneário Gaivota,Santa Catarina,Sul,10979,7,7,63.7580836141725,63.7580836141725,0.013516499436605,0.558868130481198
470,4212809,Balneário Piçarras,Santa Catarina,Sul,23147,29,15,125.286214196224,64.8032142394263,0.00902149099533744,0.486591408093166
471,4301636,Balneário Pinhal,Rio Grande do Sul,Sul,14068,52,51,369.633210122263,362.524879158374,0.0095800350884474,0.645241988492807
472,4220000,Balneário Rincão,Santa Catarina,Sul,12760,9,9,70.5329153605016,70.5329153605016,0.00597521014742597,0.392221869011105
473,4102307,Balsa Nova,Paraná,Sul,12941,11,11,85.0011591067151,85.0011591067151,0.0313341974202785,1.39230025639111
474,3504800,Bálsamo,São Paulo,Sudeste,9068,10,10,110.277900308778,110.277900308778,0.0129958082516737,0.54525755258584
475,2101400,Balsas,Maranhão,Nordeste,94887,105,92,110.657940497645,96.9574335788886,1.07853704475434,8.17548436226194
476,3105103,Bambuí,Minas Gerais,Sudeste,23829,36,28,151.076419488858,117.503881824667,0.125752409808797,2.36336707129386
477,2301851,Banabuiú,Ceará,Nordeste,18197,14,14,76.9357586415343,76.9357586415343,0.0881291833548659,1.87490951405007
478,3504909,Bananal,São Paulo,Sudeste,10945,32,31,292.370945637277,283.234353586112,0.0541889500137813,1.42380602628523
479,2501500,Bananeiras,Paraíba,Nordeste,21318,17,17,79.7448165869219,79.7448165869219,0.0210802134600101,0.727662042736032
480,3105202,Bandeira,Minas Gerais,Sudeste,4795,2,2,41.7101147028154,41.7101147028154,0.0408214995543972,1.54563698679958
481,3105301,Bandeira do Sul,Minas Gerais,Sudeste,5746,5,5,87.0170553428472,87.0170553428472,0.00412593191617816,0.361705633832373
482,4202081,Bandeirante,Santa Catarina,Sul,2678,7,7,261.389096340553,261.389096340553,0.0134222594708717,0.916149742555657
483,4102406,Bandeirantes,Paraná,Sul,31367,42,25,133.898683329614,79.7015972200083,0.0392569185360117,1.4609060482704
484,5001508,Bandeirantes,Mato Grosso do Sul,Centro-Oeste,6788,12,12,176.782557454331,176.782557454331,0.268621744776965,2.96396033935194
485,1703057,Bandeirantes do Tocantins,Tocantins,Norte,3553,2,2,56.2904587672389,56.290458767239,0.12643100053856,2.57168502205273
486,1501253,Bannach,Pará,Norte,3286,3,3,91.2964090079124,91.2964090079124,0.242211416867292,2.70112425558633
487,2902658,Banzaê,Bahia,Nordeste,13229,5,5,37.7957517575025,37.7957517575025,0.0338327480265264,0.923483977024075
488,4301651,Barão,Rio Grande do Sul,Sul,6171,15,15,243.072435585805,243.072435585805,0.0115759010158172,0.614916881378894
489,3505005,Barão de Antonina,São Paulo,Sudeste,3469,1,1,28.8267512251369,28.8267512251369,0.0135459782944736,0.877341987328393
490,3105400,Barão de Cocais,Minas Gerais,Sudeste,32485,53,45,163.152224103432,138.525473295367,0.0293794518293566,1.12207501070559
491,4301701,Barão de Cotegipe,Rio Grande do Sul,Sul,6623,9,9,135.890080024158,135.890080024158,0.0237790298153868,0.783353277205023
492,2101509,Barão de Grajaú,Maranhão,Nordeste,18820,16,16,85.0159404888417,85.0159404888417,0.18057014656992,1.98746338091499
493,5101605,Barão de Melgaço,Mato Grosso,Centro-Oeste,8564,2,2,23.3535730966838,23.3535730966838,0.947347084460489,6.66253266373663
494,3105509,Barão de Monte Alto,Minas Gerais,Sudeste,5397,5,5,92.6440615156568,92.6440615156568,0.0172577628154045,0.720319100532234
495,4301750,Barão do Triunfo,Rio Grande do Sul,Sul,7487,5,5,66.7824228663016,66.7824228663016,0.040970800479613,1.37538626870306
496,2401453,Baraúna,Rio Grande do Norte,Nordeste,28374,15,15,52.8652992175936,52.8652992175936,0.0673372584425209,1.17026277134993
497,2501534,Baraúna,Paraíba,Nordeste,4892,2,2,40.8830744071954,40.8830744071954,0.00413613482528774,0.369338365091683
498,3105608,Barbacena,Minas Gerais,Sudeste,137313,570,419,415.1100041511,305.142266209317,0.0660607636676787,2.22763359408918
499,2301901,Barbalha,Ceará,Nordeste,60781,371,366,610.388114706899,602.161859791711,0.0466458383641282,1.10606420701879
500,3505104,Barbosa,São Paulo,Sudeste,7402,5,5,67.5493109970278,67.5493109970278,0.0178612059521583,0.675755819545173
501,4102505,Barbosa Ferraz,Paraná,Sul,11568,16,14,138.312586445367,121.023513139696,0.0478244482233094,2.42921639504699
502,1501303,Barcarena,Pará,Norte,124680,164,147,131.53673403914,117.901828681424,0.106508766261275,1.50395840351927
503,2401503,Barcelona,Rio Grande do Norte,Nordeste,3998,3,3,75.0375187593797,75.0375187593797,0.0124648998692152,0.657050666857863
504,1300409,Barcelos,Amazonas,Norte,27502,10,10,36.3609919278598,36.3609919278598,9.95060877724088,23.08185557872
505,3505203,Bariri,São Paulo,Sudeste,35264,60,54,170.145190562613,153.130671506352,0.0388840832418964,1.10221567773879
506,2902708,Barra,Bahia,Nordeste,53578,36,30,67.1917578110418,55.9931315092015,0.945021246113413,5.4875947658536
507,3505302,Barra Bonita,São Paulo,Sudeste,36126,111,106,307.257930576316,293.417483253059,0.01317302582504,0.581949132868504
508,4202099,Barra Bonita,Santa Catarina,Sul,1677,1,1,59.6302921884317,59.6302921884317,0.0084418028628761,0.653685900798637
509,2201176,Barra D'Alcântara,Piauí,Nordeste,3951,2,2,50.6200961781827,50.6200961781827,0.0215333776546913,0.824409618473333
510,2902807,Barra da Estiva,Bahia,Nordeste,20598,16,14,77.6774444120788,67.967763860569,0.138461957529671,2.60869136332085
511,2601300,Barra de Guabiraba,Pernambuco,Nordeste,14385,9,9,62.5651720542231,62.5651720542232,0.00987572136085646,0.515997332090596
512,2501609,Barra de Santa Rosa,Paraíba,Nordeste,15384,5,5,32.5013000520021,32.5013000520021,0.0634490847251641,1.18155441955492
513,2501575,Barra de Santana,Paraíba,Nordeste,8359,5,5,59.8157674362962,59.8157674362962,0.0306743965527403,1.01918742892133
514,2700508,Barra de Santo Antônio,Alagoas,Nordeste,15932,12,12,75.3201104694954,75.3201104694954,0.010835294068869,0.694596390044631
515,3200904,Barra de São Francisco,Espírito Santo,Sudeste,44650,86,52,192.609182530795,116.461366181411,0.0808831485994119,2.41990619736654
516,2501708,Barra de São Miguel,Paraíba,Nordeste,6036,3,3,49.7017892644135,49.7017892644135,0.0487838275744252,1.18539908852861
517,2700607,Barra de São Miguel,Alagoas,Nordeste,8322,8,8,96.1307378034126,96.1307378034126,0.00631435568328698,0.502467051133876
518,5101704,Barra do Bugres,Mato Grosso,Centro-Oeste,34966,38,32,108.677000514786,91.5174741177143,0.502795499846854,7.86750706617139
519,3505351,Barra do Chapéu,São Paulo,Sudeste,5724,2,2,34.9406009783368,34.9406009783368,0.0361198630874924,1.25814574689155
520,2902906,Barra do Choça,Bahia,Nordeste,31603,34,28,107.584722969338,88.5991836218081,0.0642713770158139,1.10615675174175
521,2101608,Barra do Corda,Maranhão,Nordeste,88212,31,28,35.1426109826327,31.7417131456038,0.423569517897022,4.04793741261521
522,5101803,Barra do Garças,Mato Grosso,Centro-Oeste,61012,137,92,224.545990952599,150.790008522914,0.76422767864085,6.38971337987696
523,4301859,Barra do Guarita,Rio Grande do Sul,Sul,3248,0,0,0,0,0.00577268616223137,0.534729453928474
524,4102703,Barra do Jacaré,Paraná,Sul,2781,0,0,0,0,0.0102004333803052,0.693987614586419
525,2903003,Barra do Mendes,Bahia,Nordeste,13865,4,3,28.8496213487198,21.6372160115398,0.131689690145947,2.39649204672709
526,1703073,Barra do Ouro,Tocantins,Norte,4591,0,0,0,0,0.0906803812594035,1.96595865296647
527,3300308,Barra do Piraí,Rio de Janeiro,Sudeste,100374,200,129,199.25478709626,128.519337677088,0.0512796854785051,1.62334880086313
528,4301875,Barra do Quaraí,Rio Grande do Sul,Sul,4215,2,2,47.4495848161329,47.4495848161329,0.0987340232384213,1.69581464972434
529,4301909,Barra do Ribeiro,Rio Grande do Sul,Sul,13491,9,8,66.711140760507,59.2987917871173,0.068406649603503,2.01182561029223
530,4301925,Barra do Rio Azul,Rio Grande do Sul,Sul,1690,2,2,118.343195266272,118.343195266272,0.0134263966447179,0.747428563889819
531,2903102,Barra do Rocha,Bahia,Nordeste,5714,3,3,52.5026251312566,52.5026251312566,0.0179460053781781,0.936835849012235
532,3505401,Barra do Turvo,São Paulo,Sudeste,7659,14,14,182.791487139313,182.791487139313,0.0900329281913628,2.24623538182494
533,2800605,Barra dos Coqueiros,Sergipe,Nordeste,30407,23,23,75.6404775216233,75.6404775216233,0.00740803652837485,0.69261947162444
534,4301958,Barra Funda,Rio Grande do Sul,Sul,2539,2,2,78.7711697518708,78.7711697518708,0.00550349421860119,0.497235786901742
535,3105707,Barra Longa,Minas Gerais,Sudeste,5131,4,4,77.9575131553303,77.9575131553303,0.0331716403225073,1.08556555197636
536,3300407,Barra Mansa,Rio de Janeiro,Sudeste,184412,543,373,294.449385072555,202.264494718348,0.048019556109864,1.95488078137095
537,4202107,Barra Velha,Santa Catarina,Sul,29168,33,28,113.137685134394,95.9956116291827,0.0127245736532586,0.703852889721758
538,4102604,Barracão,Paraná,Sul,10275,8,5,77.8588807785888,48.661800486618,0.015484854203919,0.78038583727799
539,4301800,Barracão,Rio Grande do Sul,Sul,5275,6,6,113.744075829384,113.744075829384,0.0472867271943187,1.53484577332367
540,2201200,Barras,Piauí,Nordeste,47066,37,37,78.6130115157439,78.6130115157439,0.1403029200048,2.34225950183321
541,2301950,Barreira,Ceará,Nordeste,22425,24,24,107.023411371237,107.023411371237,0.0200250519833105,0.592938687667098
